sale_id,sale_date,customer_id,product,category,quantity,unit_price,status,channel,region,brand,cost,list_price,sales_amount,total_cost,profit,profit_margin
S0001,2026-02-28,C046,鼠标,外设,2,94.05,paid,线上,华中,星科,45,99,188.1,90,98.1,52.15
S0002,2026-01-24,C034,耳机,音频,3,399.0,paid,线上,华北,声浪,240,399,1197.0,720,477.0,39.85
S0003,2026-03-05,C042,耳机,音频,2,399.0,paid,线上,华南,声浪,240,399,798.0,480,318.0,39.85
S0004,2026-05-13,C011,耳机,音频,4,399.0,paid,线上,华中,声浪,240,399,1596.0,960,636.0,39.85
S0005,2026-04-21,C042,鼠标,外设,4,89.1,paid,线下,华南,星科,45,99,356.4,180,176.4,49.49
S0007,2026-06-14,C120,机械键盘,外设,3,299.0,paid,线上,华东,雷鸟,180,299,897.0,540,357.0,39.8
S0008,2026-06-10,C063,鼠标,外设,2,89.1,paid,线上,华东,星科,45,99,178.2,90,88.2,49.49
S0009,2026-04-10,C028,音箱,音频,4,499.0,paid,线上,华东,声浪,320,499,1996.0,1280,716.0,35.87
S0010,2026-03-16,C071,耳机,音频,1,399.0,paid,线上,华中,声浪,240,399,399.0,240,159.0,39.85
S0011,2026-02-04,C096,显示器,显示设备,1,1299.0,paid,线上,华北,视界,900,1299,1299.0,900,399.0,30.72
S0012,2026-02-15,C004,耳机,音频,3,399.0,paid,线上,华东,声浪,240,399,1197.0,720,477.0,39.85
S0013,2026-02-20,C069,显示器,显示设备,1,1299.0,paid,线上,华南,视界,900,1299,1299.0,900,399.0,30.72
S0014,2026-05-21,C047,显示器,显示设备,2,1299.0,paid,线下,西南,视界,900,1299,2598.0,1800,798.0,30.72
S0015,2026-06-13,C079,鼠标,外设,4,99.0,paid,线上,华南,星科,45,99,396.0,180,216.0,54.55
S0016,2026-01-20,C118,鼠标,外设,1,89.1,paid,线下,华东,星科,45,99,89.1,45,44.1,49.49
S0017,2026-06-10,C075,鼠标,外设,2,89.1,paid,线上,华中,星科,45,99,178.2,90,88.2,49.49
S0019,2026-01-13,C060,鼠标,外设,4,99.0,paid,线下,华北,星科,45,99,396.0,180,216.0,54.55
S0020,2026-03-24,C090,显示器,显示设备,1,1169.1,paid,线上,华北,视界,900,1299,1169.1,900,269.1,23.02
S0021,2026-05-21,C101,鼠标,外设,1,94.05,paid,线上,华东,星科,45,99,94.05,45,49.05,52.15
S0022,2026-03-27,C028,机械键盘,外设,1,299.0,paid,线上,华东,雷鸟,180,299,299.0,180,119.0,39.8
S0023,2026-03-28,C070,投影仪,显示设备,1,2249.1,paid,线上,西南,光影,1800,2499,2249.1,1800,449.1,19.97
