sale_id,sale_date,customer_id,product,category,quantity,unit_price,status,channel,region,invalid_reason
S0018,2026-03-01,C024,耳机,音频,,399.0,paid,线上,华北,数量异常;
S0050,2026-01-08,C111,耳机,音频,3.0,,paid,线上,华南,单价异常;
S0089,,C083,显示器,显示设备,2.0,1234.05,paid,线下,华东,日期异常;
S0093,2026-03-17,,机械键盘,外设,1.0,299.0,paid,线上,华北,顾客编号异常;
S0114,2026-04-29,C065,麦克风,音频,,359.0,paid,线上,西南,数量异常;
S0206,2026-01-23,C117,机械键盘,外设,-1.0,269.1,paid,线上,华北,数量异常;
S0221,2026-03-26,C015,鼠标,外设,3.0,,cancelled,线上,华中,单价异常;
S0293,2026-03-29,,鼠标,外设,4.0,89.1,refunded,线上,华东,顾客编号异常;
S0310,2026-04-14,C089,耳机,音频,,399.0,paid,线上,华北,数量异常;
S0334,2026-04-28,C027,显示器,显示设备,2.0,-99.0,paid,线上,华中,单价异常;
S0389,,C051,显示器,显示设备,4.0,1169.1,paid,线上,华北,日期异常;
S0412,2026-04-30,C100,机械键盘,外设,0.0,299.0,paid,线上,华东,数量异常;
S0448,2026-04-20,C110,麦克风,音频,4.0,0.0,cancelled,线上,西南,单价异常;
S0013,2026-02-20,C069,显示器,显示设备,1.0,1299.0,paid,线上,华南,完全重复;
S0049,2026-05-01,C071,音箱,音频,3.0,474.05,paid,线上,华中,完全重复;
S0097,2026-05-04,C112,显示器,显示设备,3.0,1169.1,paid,线上,华南,完全重复;
S0145,2026-04-05,C031,机械键盘,外设,1.0,299.0,paid,线上,华东,完全重复;
S0193,2026-03-28,C105,麦克风,音频,1.0,359.0,paid,线下,西南,完全重复;
S0241,2026-06-20,C082,摄像头,外设,3.0,299.0,paid,线上,华北,完全重复;
S0289,2026-05-03,C022,鼠标,外设,1.0,94.05,paid,线上,华东,完全重复;
S0337,2026-06-06,C039,鼠标,外设,2.0,89.1,paid,线上,华南,完全重复;
S0385,2026-05-22,C063,鼠标,外设,2.0,94.05,paid,线上,华中,完全重复;
S0433,2026-06-28,C071,鼠标,外设,2.0,103.95,paid,线上,华南,完全重复;
